,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date,CRSDepHour,CRSArrHour
0,CVG,CMH,116.0,1,19,6,Summer,2023-07-17 10:30:00,630,Morning,48.0,1118,OH,4,2,6,18,2,2,5.0,2.0,Slightly delayed,2006-06-19,10,11
1,ATL,SGF,563.0,7,30,7,Summer,2023-07-17 20:35:00,1235,Evening,112.0,2127,EV,5,2,7,17,2,1,153.0,136.0,Excessively delayed,2006-07-30,20,21
2,PBI,BDL,1133.0,1,31,7,Summer,2023-07-17 12:00:00,720,Afternoon,170.0,1450,DL,3,3,6,12,2,1,0.0,-4.0,On-time,2006-07-31,12,14
3,PIT,PHL,267.0,3,27,12,Winter,2023-07-17 16:50:00,1010,Afternoon,70.0,1800,US,4,4,8,19,1,1,-4.0,-11.0,On-time,2006-12-27,16,18
4,ORD,ANC,2846.0,7,23,7,Summer,2023-07-17 19:20:00,1160,Evening,399.0,2259,AS,11,3,14,12,1,2,8.0,-2.0,On-time,2006-07-23,19,22
5,LBB,DFW,282.0,1,20,3,Spring,2023-07-17 14:46:00,886,Afternoon,62.0,1548,MQ,3,7,10,19,1,3,50.0,86.0,Excessively delayed,2006-03-20,14,15
6,MSP,SAN,1532.0,3,25,1,Winter,2023-07-17 17:20:00,1040,Afternoon,236.0,1916,NW,4,1,5,10,2,1,-1.0,-4.0,On-time,2006-01-25,17,19
7,PHX,PSP,261.0,5,20,10,Autumn,2023-07-17 10:06:00,606,Morning,72.0,1118,YV,3,2,5,11,1,1,19.0,22.0,Moderately delayed,2006-10-20,10,11
8,ATL,AEX,500.0,3,22,11,Autumn,2023-07-17 20:48:00,1248,Evening,100.0,2128,EV,5,2,7,15,5,1,-5.0,-8.0,On-time,2006-11-22,20,21
9,GRR,DTW,120.0,3,29,11,Autumn,2023-07-17 12:00:00,720,Afternoon,59.0,1259,NW,3,6,9,10,1,1,-2.0,11.0,Slightly delayed,2006-11-29,12,12
10,EWR,RDU,416.0,3,29,3,Spring,2023-07-17 17:25:00,1045,Afternoon,103.0,1908,CO,3,3,6,8,1,1,-4.0,-14.0,On-time,2006-03-29,17,19
11,PHX,SMF,647.0,2,20,6,Summer,2023-07-17 20:00:00,1200,Evening,110.0,2150,WN,3,2,5,25,3,1,42.0,41.0,Moderately delayed,2006-06-20,20,21
12,BWI,BDL,283.0,6,28,1,Winter,2023-07-17 15:35:00,935,Afternoon,65.0,1640,WN,4,3,7,12,1,1,-3.0,-10.0,On-time,2006-01-28,15,16
13,DFW,PHX,868.0,2,14,2,Winter,2023-07-17 06:00:00,360,Morning,156.0,0736,US,7,3,10,16,3,1,-4.0,-6.0,On-time,2006-02-14,6,7
14,MEM,SLC,1261.0,5,5,5,Spring,2023-07-17 08:10:00,490,Morning,205.0,1035,EV,4,4,8,14,2,2,0.0,2.0,Slightly delayed,2006-05-05,8,10
